含糖量(g/100ml),酸度(pH值),密度(g/cm3),酒精含量(%),品质
1.2,3.2,0.9920,8.5,0
1.5,3.0,0.9930,9.0,0
1.8,2.9,0.9935,9.2,0
2.1,3.1,0.9940,8.8,0
2.3,2.8,0.9945,9.5,0
2.5,3.3,0.9950,8.7,0
2.8,2.7,0.9955,9.8,0
3.0,3.0,0.9960,9.3,0
3.2,2.9,0.9965,9.6,0
3.5,3.1,0.9970,9.1,0
3.8,2.8,0.9975,9.9,0
4.0,3.2,0.9980,9.4,0
4.2,2.6,0.9985,10.2,0
4.5,3.0,0.9990,9.7,0
4.8,2.9,0.9992,10.0,0
5.0,3.1,0.9994,9.5,0
5.2,2.7,0.9996,10.3,0
5.5,3.0,0.9998,9.8,0
5.8,2.8,1.0000,10.5,0
6.0,3.2,1.0002,10.1,0
6.5,3.1,1.0005,11.0,1
6.8,2.9,1.0010,11.5,1
7.0,3.0,1.0015,11.2,1
7.2,2.8,1.0020,11.8,1
7.5,3.1,1.0025,11.3,1
7.8,2.7,1.0030,12.0,1
8.0,3.2,1.0035,11.6,1
8.2,2.9,1.0040,12.2,1
8.5,3.0,1.0045,11.9,1
8.8,2.8,1.0050,12.5,1
9.0,3.1,1.0055,12.1,1
9.2,2.6,1.0060,12.8,1
9.5,3.0,1.0065,12.3,1
9.8,2.9,1.0070,13.0,1
10.0,3.2,1.0075,12.6,1
10.2,2.7,1.0080,13.2,1
10.5,3.0,1.0085,12.9,1
10.8,2.8,1.0090,13.5,1
11.0,3.1,1.0095,13.1,1
11.2,2.9,1.0100,13.8,1
11.5,3.0,1.0105,13.3,1
2.0,3.1,0.9938,9.1,0
3.5,2.9,0.9968,9.4,0
5.0,3.0,0.9995,9.6,0
6.5,3.1,1.0008,11.1,1
8.0,2.8,1.0038,12.1,1
9.5,3.0,1.0072,13.1,1
2.5,3.2,0.9948,8.9,0
4.0,2.7,0.9980,9.8,0
5.5,3.0,0.9999,9.9,0
7.0,2.9,1.0020,11.4,1
8.5,3.1,1.0048,12.0,1
10.0,2.8,1.0080,12.7,1
3.0,2.8,0.9960,9.5,0
4.5,3.1,0.9988,9.7,0
6.0,3.0,1.0003,10.2,0
7.5,2.7,1.0028,11.7,1
9.0,3.2,1.0058,12.4,1
10.5,2.9,1.0092,13.4,1
1.8,3.0,0.9935,9.3,0
3.3,2.9,0.9970,9.2,0
4.8,3.1,0.9992,9.8,0
6.3,2.8,1.0006,10.8,1
7.8,3.0,1.0030,11.9,1
9.3,2.7,1.0068,12.9,1
10.8,3.1,1.0098,13.6,1
2.2,3.2,0.9942,8.6,0
3.7,2.8,0.9975,9.5,0
5.2,3.0,0.9996,10.1,0
6.7,2.9,1.0012,11.2,1
8.2,3.1,1.0042,12.3,1
9.7,2.6,1.0078,13.2,1
11.2,3.0,1.0102,13.9,1
